mmsi,shipname,callsign,flag,imo,first_timestamp,last_timestamp,Origin_Port,Destination_Port
306117000.0,SIERRALAUREL,PJBQ,ANT,9163403.0,2018-03-29T08:34:21Z,2018-06-30T17:08:41Z,Colombo,Kolkata
306873000.0,SIERRALEYRE,PJJZ,ANT,9135822.0,2012-01-01T01:06:00Z,2012-06-26T08:58:28Z,Colombo,Visakhapatnam
309681.0,GREENBRAZIL,C6WH6,BHS,9045792.0,2018-06-29T10:34:00Z,2018-06-30T23:47:40Z,Busan,Visakhapatnam
308735000.0,NOVA BRETAGNE,C6JI7,BHS,9000364.0,2012-01-01T00:39:08Z,2013-09-12T10:03:48Z,Colombo,Kolkata
311000682.0,SIERRA LARA,C6DI3,BHS,9120205.0,2017-07-03T10:28:05Z,2018-06-30T23:35:36Z,Jebel Ali,Chennai
311000433.0,SILVER PEARL,C6CC5,BHS,8400050.0,2015-08-19T10:00:02Z,2018-06-30T23:57:13Z,Shanghai,JNPT
311000709.0,SIERRA LEYRE,C6DL3,BHS,9135822.0,2017-10-12T08:51:41Z,2018-06-30T06:08:40Z,Busan,Visakhapatnam
311043900.0,GREENCONCORDIA,C6YS7,BHS,9011038.0,2012-01-03T22:17:16Z,2013-09-09T11:44:22Z,Ningbo,Mundra
308572000.0,RUNAWAY BAY,C6PX2,BHS,9019640.0,2012-01-01T00:28:40Z,2017-02-08T06:13:05Z,Singapore,Kolkata
308228000.0,GREEN OCEAN,C6VY8,BHS,9001916.0,2012-01-03T11:20:45Z,2018-06-30T23:57:00Z,Singapore,Visakhapatnam
308541000.0,GREEN SELJE,C6IB5,BHS,8804529.0,2012-01-06T15:54:49Z,2018-06-30T23:48:42Z,Shanghai,Mumbai
308743000.0,TAMA STAR,C6MA6,BHS,8517358.0,2012-01-03T22:03:55Z,2015-05-21T03:08:05Z,Yantian,JNPT
308868000.0,GREEN GUATEMALA,C6WA6,BHS,8912144.0,2012-01-03T11:04:19Z,2018-06-30T00:42:24Z,Busan,Kolkata
309165000.0,GREEN KLIPPER,C6VY9,BHS,9001904.0,2012-01-01T02:25:08Z,2018-06-30T23:46:54Z,Yantian,JNPT
309281000.0,GREEN ITALIA,C6WH9,BHS,9045780.0,2012-01-01T00:52:25Z,2018-06-30T23:44:01Z,Singapore,JNPT
309361000.0,GREEN EXPLORER,C6VZ4,BHS,8922242.0,2012-01-01T00:04:56Z,2018-06-30T23:01:06Z,Singapore,Mundra
309478000.0,HAINANBAOSHA12,C6NP6,BHS,9063653.0,2012-01-01T00:20:15Z,2013-03-13T03:33:23Z,Colombo,Mumbai
352610000.0,HAINANBAOSHA12,C6NP6,BHS,9063653.0,2013-03-26T11:30:49Z,2013-03-30T10:46:25Z,Shanghai,Chennai
309479000.0,HAINANBAOSHA11,C6NP7,BHS,9063665.0,2012-01-21T11:08:26Z,2013-03-14T02:30:34Z,Shanghai,JNPT
309578000.0,CHANGUINOLABAY,C6RB2,BHS,8801814.0,2012-01-01T06:38:54Z,2014-07-18T01:00:00Z,Colombo,JNPT
309689000.0,GREEN COSTA RICA,C6WB3,BHS,8912120.0,2012-01-05T01:34:11Z,2018-06-30T22:40:08Z,Yantian,Visakhapatnam
311004000.0,GREEN MAVERIC,C6VY2,BHS,9043055.0,2012-01-01T00:05:36Z,2018-06-30T18:53:35Z,Busan,Chennai
311009400.0,GREEN KARMOY,C6XH2,BHS,8804531.0,2012-01-03T22:46:52Z,2018-06-30T15:50:35Z,Colombo,Visakhapatnam
311009600.0,GREEN FREEZER,C6XH4,BHS,8819304.0,2012-01-03T16:43:04Z,2018-06-30T20:15:13Z,Jebel Ali,Visakhapatnam
311009700.0,GREEN CRYSTAL,C6XH5,BHS,8920995.0,2012-01-03T01:52:53Z,2018-06-30T22:51:02Z,Colombo,Kolkata
311011400.0,GREEN COOLER,C6XJ4,BHS,8804543.0,2012-01-03T17:33:57Z,2018-06-30T23:58:02Z,Qingdao,Chennai
311029000.0,GREEN MAGNIFIC,C6VY3,BHS,9011492.0,2012-01-01T08:00:08Z,2017-05-09T09:21:27Z,Ningbo,Mundra
311034800.0,GREEN AUSTEVOLL,C6YS6,BHS,8819299.0,2014-05-04T21:25:02Z,2014-05-05T08:38:30Z,Singapore,Chennai
311043800.0,GREEN AUSTEVOLL,C6YS6,BHS,8819299.0,2012-01-01T00:03:40Z,2018-06-30T22:18:05Z,Jebel Ali,Mundra
311040500.0,GREEN EGERSUND,C6YO8,BHS,8804567.0,2012-01-05T16:25:00Z,2018-06-30T23:58:21Z,Colombo,JNPT
311042300.0,GREENTOLEDO,C6YQ8,BHS,9015785.0,2012-01-02T22:29:01Z,2015-03-17T22:33:50Z,Ningbo,Chennai
311042400.0,GREEN MALOY,C6YQ9,BHS,8804579.0,2012-01-03T00:19:25Z,2018-06-29T22:21:14Z,Qingdao,Kolkata
311289000.0,GREEN HONDURAS,C6WH8,BHS,8912132.0,2012-01-19T17:19:04Z,2018-06-30T23:43:58Z,Yantian,JNPT
311449000.0,GREEN MUSIC,C6VY4,BHS,8822595.0,2012-01-29T03:36:11Z,2018-06-30T01:29:17Z,Qingdao,Visakhapatnam
311461000.0,GREEN MAGIC,C6VY5,BHS,8822583.0,2012-01-02T22:13:56Z,2018-06-30T15:49:50Z,Singapore,Mundra
312534000.0,OKAPIMARTA,V3ZR6,BLZ,7816472.0,2013-07-10T13:33:21Z,2013-07-17T19:49:02Z,Ningbo,Kolkata
312900000.0,NOVIYSVET,V3NM,BLZ,8509557.0,2012-01-02T20:34:46Z,2012-09-14T00:35:27Z,Busan,Mundra
